Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
24-08-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,34.2,85,248
30-08-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,11,23.5,53,115
9/3/2007,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,19.2,62,202
9/6/2007,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,26.8,NA,NA
9/11/2007,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,2.7,28.8,180,521
13-09-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,24.8,173,516
18-09-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,29,222,454
20-09-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,3.8,33.3,156,393
25-09-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,3,36,98,267
27-09-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,3.5,22,88,343
10/3/2007,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,43.5,374,818
17-10-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,39.5,238,600
21-11-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,3.2,46.8,401,925
28-11-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,12.8,61.2,475,965
12/2/2007,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,2.3,39.8,232,377
12/4/2007,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,2.3,48.8,309,733
12/6/2007,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,3.2,53.3,550,996
12/7/2007,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,8,49.5,548,984
12/8/2007,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,7.3,66.3,482,NA
12/11/2007,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,3.2,54.8,326,741
13-12-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,2.7,43.3,303,498
16-12-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,53.8,259,602
18-12-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,2.7,71.5,494,845
20-12-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,2.8,58.2,393,849
